Date,Open,High,Low,Close,Volume,Adj Close,Drawdown
2010-05-12,9927.9,10284.9,9812.2,10089.8,296200,10089.8,-0.3672400709909255
2010-05-13,10222.5,10222.5,9846.3,9977.5,230200,9977.5,-0.3742827219877459
2010-05-14,9891.1,9896.8,9192.6,9314.7,397400,9314.7,-0.41584878682027127
2010-05-17,9224.3,9488.4,9140.5,9286.1,292000,9286.1,-0.41764237380610447
2010-05-18,9480.9,9716.8,9419.6,9627.6,280400,9627.6,-0.3962259417899495
2010-05-19,9430.3,9518.4,9233.2,9376.5,292600,9376.5,-0.41197313382291156
2010-05-20,9471.7,9564.1,9037.5,9270.5,323400,9270.5,-0.4186206939801953
2010-05-21,9288.5,9443.5,9005.9,9407.3,468400,9407.3,-0.41004157860739887
2010-05-24,9514.8,9552.3,9169.8,9287.9,184400,9287.9,-0.41752949070909395
2010-05-25,8969.9,9027.4,8812.1,9004.4,342200,9004.4,-0.43530857848824445
2010-05-26,9156.0,9241.8,9042.6,9042.6,329200,9042.6,-0.43291294831835536
2010-05-27,9129.5,9395.1,8906.8,9334.9,351400,9334.9,-0.41458198762048704
2010-05-28,9452.1,9492.1,9372.2,9425.5,237600,9425.5,-0.4089002050709595
2010-05-31,9346.1,9403.8,9328.4,9359.4,114200,9359.4,-0.41304552324451105
2010-06-01,9282.2,9356.2,9019.4,9299.7,241600,9299.7,-0.4167894792953585
2010-06-02,9212.1,9304.5,9031.9,9268.0,229400,9268.0,-0.41877747605937643
2010-06-03,9469.7,9488.8,9258.3,9276.2,209200,9276.2,-0.418263230839662
2010-06-04,9289.6,9315.1,8881.7,8923.4,324000,8923.4,-0.440388317853716
2010-06-07,8825.2,8962.6,8664.0,8795.3,244800,8795.3,-0.44842183159096183
2010-06-08,8880.4,8888.9,8563.6,8669.8,263200,8669.8,-0.4562922919658592
2010-06-09,8725.9,8868.7,8610.6,8868.7,273000,8868.7,-0.4438187097462011
2010-06-10,8807.8,9242.6,8712.3,9198.2,291800,9198.2,-0.42315483171011614
2010-06-11,9276.0,9648.7,9265.7,9561.7,422400,9561.7,-0.40035871739716655
2010-06-14,9662.0,9690.7,9483.7,9584.0,265800,9584.0,-0.39896022125087016
2010-06-15,9475.8,9764.9,9414.0,9742.0,257000,9742.0,-0.3890515938466169
2010-06-16,9803.9,9838.8,9572.2,9683.3,250800,9683.3,-0.392732837065792
2010-06-17,9671.0,9841.3,9650.9,9755.1,239400,9755.1,-0.3882300557517072
2010-06-18,9774.8,10051.8,9773.6,9971.8,398800,9971.8,-0.3746401851282791
2010-06-21,10127.7,10209.5,10016.0,10071.9,204000,10071.9,-0.368362630677863
2010-06-22,10020.7,10071.7,9872.0,10016.1,225600,10016.1,-0.37186200668518776
2010-06-23,9896.6,10031.3,9824.7,9886.0,186400,9886.0,-0.3800209460857785
2010-06-24,9953.7,9969.8,9549.3,9586.5,221800,9586.5,-0.3988034391716888
2010-06-25,9576.4,9677.6,9451.5,9535.0,229400,9535.0,-0.402033150002822
2010-06-28,9612.4,9705.2,9490.1,9688.5,186800,9688.5,-0.3924067303410951
2010-06-29,9525.4,9544.9,9160.4,9160.4,247600,9160.4,-0.42552537674733626
2010-06-30,9212.1,9407.4,9122.6,9263.4,280000,9263.4,-0.41906595508506994
2010-07-01,9041.7,9341.0,8977.7,9178.2,277600,9178.2,-0.42440908834356583
2010-07-02,9228.0,9434.3,9158.7,9250.8,209600,9250.8,-0.41985613676414335
2010-07-05,9247.3,9367.3,9202.0,9281.5,153600,9281.5,-0.41793085283179787
2010-07-06,9356.0,9698.1,9346.3,9615.0,222600,9615.0,-0.39701612346902293
2010-07-07,9529.8,9987.4,9457.0,9987.4,345200,9987.4,-0.3736618649541883
2010-07-08,10067.9,10120.7,9929.6,10080.5,321000,10080.5,-0.3678233003254796
2010-07-09,10165.4,10185.5,10044.7,10127.3,204200,10127.3,-0.3648883398032071
2010-07-12,10145.4,10146.4,9967.5,10058.2,153800,10058.2,-0.369221796471776
2010-07-13,10084.6,10259.5,10044.0,10259.5,181600,10259.5,-0.3565977034561042
2010-07-14,10309.6,10315.2,10159.4,10278.5,183800,10278.5,-0.35540615965432676
2010-07-15,10232.7,10318.7,10077.3,10160.2,249600,10160.2,-0.36282508764118215
2010-07-16,10196.2,10253.9,9913.3,9991.7,206800,9991.7,-0.37339219977799654
2010-07-19,9961.3,10157.6,9849.9,9929.8,154000,9929.8,-0.37727412405852356
2010-07-20,10036.2,10076.2,9804.9,10061.3,192400,10061.3,-0.3690273866935915
2010-07-21,10129.1,10168.3,10003.5,10040.8,185000,10040.8,-0.37031299974287735
2010-07-22,9974.4,10334.7,9967.8,10302.9,203200,10302.9,-0.3538759665615181
2010-07-23,10257.5,10417.3,10221.4,10388.2,279600,10388.2,-0.34852656201985477
2010-07-26,10476.7,10512.4,10331.0,10506.7,174600,10506.7,-0.34109509146666483
2010-07-27,10544.8,10684.7,10533.1,10645.0,257400,10645.0,-0.33242190684635986
2010-07-28,10712.4,10721.8,10595.9,10643.9,196600,10643.9,-0.33249089096119955
2010-07-29,10678.0,10788.0,10602.5,10659.5,217400,10659.5,-0.3315125707871087
